Country,Speed.Number,first_date,order,total_deaths,p.db,ylds.db,p.copd,ylds.copd,p.hiv,ylds.hiv,p.tbc,ylds.tbc,GDP_2017,pop_men,pop_women,prop_men,pm2.5,UHC_index_2017
Afghanistan,0.888888889,2/24/20,34,0,0.105598924,0.052701835,0.050140111,0.03048439,0.000185659,0.000165004,0.261145918,0.001077681,556.3021385,16743202.18,16111564.4,0.509612574,53.2,37
Albania,5.846153846,3/9/20,48,2,0.044023462,0.032645904,0.042847605,0.023330625,1.18E-05,1.73E-05,0.132001191,0.000263812,4532.890162,1389607.898,1376553.655,0.502359631,17.9,59
Algeria,5.346153846,2/25/20,35,15,0.085690849,0.054947938,0.038137093,0.029308695,0.000285484,0.000260615,0.117466501,0.00037949,4044.298372,20482074.72,19981623.42,0.506183954,35.2,78
Angola,1,3/20/20,59,0,0.097936219,0.068842935,0.030039942,0.030925239,0.013423426,0.014101079,0.222920506,0.005276856,4095.812942,13684538.05,14517760.6,0.485227755,27.9,40
Antigua and Barbuda,0.111111111,3/13/20,52,0,0.085483858,0.07191854,0.020194663,0.01233317,0.000959695,0.001538015,0.189396299,0.00019495,15383.41519,43283.71326,45673.63979,0.48656701,17.9,73
Argentina,8.315789474,3/3/20,42,4,0.06874608,0.046176023,0.037633593,0.020310723,0.004848244,0.004470382,0.152910076,0.000247522,14591.86338,21575051.67,22690857.53,0.487396556,11.8,76
Armenia,7.619047619,3/1/20,40,0,0.089223096,0.068957679,0.042156054,0.023943972,0.000547289,0.00052425,0.145043189,0.000527435,3914.501268,1459556.708,1567674.722,0.482142427,30.5,69
Australia,19.125,1/26/20,5,7,0.042799115,0.02665448,0.0332226,0.018714305,0.000612564,0.000369133,0.090995926,0.000112352,54066.47127,11831140.88,12111940.67,0.494136097,7.2,87
Austria,108.2307692,2/25/20,35,8,0.058980354,0.035797357,0.057641599,0.02208838,0.001626282,0.001041719,0.074060069,0.00015145,47431.63061,4324554.169,4468571.262,0.491810813,12.4,79
Azerbaijan,2.523809524,3/1/20,40,1,0.087363812,0.068389088,0.041786659,0.02386359,0.000279661,0.000228244,0.160870124,0.001273772,4147.089716,5102958.272,5122062.299,0.49906582,18.2,65
Bahrain,11.2962963,2/24/20,34,1,0.118086356,0.072217979,0.038123516,0.029779552,0.000174035,0.000196372,0.147942696,0.000285591,23715.48275,912885.3221,557487.3858,0.62085301,69,77
Bangladesh,1.785714286,3/8/20,47,2,0.055005617,0.038357138,0.038670637,0.038936974,6.27E-05,0.000107512,0.134078308,0.003701967,1563.994082,77650600.85,79330401.24,0.49464967,58.3,48
Barbados,1.2,3/17/20,56,0,0.090015311,0.081048599,0.019354912,0.012750063,0.004921723,0.004501477,0.188309577,0.000115654,17431.60292,142470.527,153413.2946,0.481508337,22.2,77
Belarus,3.304347826,2/28/20,38,0,0.049948325,0.034738095,0.040555166,0.021205277,0.001760285,0.001308003,0.125197789,0.000531061,5761.74712,4418034.907,5073004.721,0.46549536,18.1,76
Belgium,59.89361702,2/4/20,14,67,0.069307979,0.04410286,0.051942658,0.026240884,0.001690648,0.001024275,0.076301438,0.000145413,44219.562,5565653.074,5753757.764,0.491691057,12.9,84
Benin,0.333333333,3/16/20,55,0,0.064578525,0.048710181,0.033829785,0.034461626,0.008235627,0.006493666,0.319149178,0.003945595,829.4788028,5686158.714,5899142.113,0.490808033,33.1,40
Bhutan,0.125,3/6/20,45,0,0.057367027,0.040611447,0.031007859,0.036494526,0.001111429,0.001466411,0.132758016,0.003238348,3286.574704,506853.6718,450556.5773,0.529400716,35.3,62
Bolivia,1.727272727,3/11/20,50,0,0.069900916,0.057695412,0.027270299,0.016456529,0.002027702,0.002232416,0.237397368,0.000893414,3351.124053,5775339.406,5767655.305,0.500332847,20.2,68
Bosnia and Herzegovina,5.470588235,3/5/20,44,1,0.081753615,0.056371333,0.054130321,0.027371834,1.09E-05,1.36E-05,0.140800336,0.000486812,5394.59122,1668273.698,1730965.763,0.490778516,27.3,61
Brazil,40.84,2/26/20,36,15,0.041785927,0.033537865,0.040503984,0.019620169,0.004100273,0.003704107,0.247557096,0.000338029,9880.946543,103513823.3,108298884,0.4887045,11.5,79
Brunei,6.384615385,3/9/20,48,0,0.112552509,0.075975791,0.027322491,0.021568565,0.00094634,0.00082336,0.264313131,0.001200581,28572.14678,225940.1729,206510.5607,0.522464538,5.8,81
Bulgaria,11.64285714,3/8/20,47,3,0.054775635,0.040084991,0.053745812,0.028816955,0.000237059,0.000239052,0.12761783,0.000354396,8228.01157,3423854.606,3628484.743,0.485492038,18.8,66
Burkina Faso,5.333333333,3/10/20,49,2,0.05333225,0.040250964,0.03359105,0.034125123,0.006602833,0.005925118,0.343912882,0.005013605,642.4298387,10251682.06,10870284.08,0.485356429,36.8,40
Cambodia,0.963636364,1/27/20,6,0,0.074806567,0.054327144,0.038397336,0.041690918,0.005036059,0.004449917,0.2749232,0.012023692,1385.458363,7900770.029,8221613.13,0.490049762,24,60
Cameroon,1.6875,3/6/20,45,0,0.05364677,0.038739585,0.034654507,0.034692098,0.027786742,0.027426457,0.296909517,0.003751886,1421.587492,13830871.2,13938867.07,0.498055512,65.3,46
Canada,22.82142857,1/26/20,5,19,0.052133363,0.036679537,0.032014622,0.017205375,0.002088599,0.001310631,0.055698732,9.25E-05,45069.92725,17701594.08,18281323.48,0.49194438,6.5,89
Cape Verde,2,3/20/20,59,0,0.059079125,0.049628886,0.015853115,0.018522078,0.008647109,0.009025001,0.218462921,0.003346082,3292.645755,274404.1874,271401.6888,0.502750519,32,69
Central African Republic,0.428571429,3/15/20,54,0,0.097474698,0.064822133,0.034341225,0.033251263,0.025556555,0.027076394,0.303817229,0.006593448,449.7864235,2299447.665,2323067.299,0.497445153,49.5,33
Chad,0.333333333,3/19/20,58,0,0.057187306,0.039764371,0.038324474,0.035635844,0.013595186,0.011973812,0.379851335,0.004805485,664.3033157,7548807.072,7673278.494,0.495911486,53,28
Chile,28.26315789,3/3/20,42,0,0.068184073,0.043294242,0.032761076,0.016756744,0.003275966,0.002858595,0.126451741,0.00023901,15037.35028,8793992.521,9124242.382,0.490784531,21,70
China,1355.083333,1/22/20,1,3259,0.050365735,0.039993121,0.037978755,0.041705561,0.000381717,0.000633624,0.284523774,0.004512138,8759.041578,721191249.5,691289140.7,0.510584964,49.2,79
Colombia,12.25,3/6/20,45,0,0.041494923,0.03894463,0.031098409,0.024889451,0.002277139,0.002466689,0.216167114,0.000291038,6375.932063,24845206.3,25760950.77,0.490952243,15.2,76
Congo (Brazzaville),0.428571429,3/15/20,54,0,0.099699981,0.071336169,0.028330738,0.029580274,0.021447512,0.022986881,0.221988733,0.004339229,1702.571349,2440687.597,2472384.782,0.496774199,38.7,39
Congo (Kinshasa),2.090909091,3/11/20,50,1,0.091220642,0.06289494,0.03277244,0.033006917,0.00599321,0.005577442,0.240491753,0.006921895,467.0742375,40415183.62,40469487.04,0.499664316,37.6,41
Costa Rica,7.3125,3/6/20,45,2,0.047707419,0.043560898,0.031418667,0.024460688,0.001738725,0.00185147,0.196076249,0.000166297,11752.5434,2259968.325,2393765.448,0.485624755,15.9,77
Cote d'Ivoire,1.272727273,3/11/20,50,0,0.058956848,0.044338486,0.031923122,0.032251028,0.025797207,0.023830714,0.366798392,0.004149939,1557.182814,12885304.08,12079975.11,0.51612898,23.7,47
Croatia,7.923076923,2/25/20,35,1,0.067011632,0.056051104,0.050308733,0.026344526,0.000138826,0.000104651,0.106397385,0.000236981,13412.34195,2072460.405,2203035.413,0.48472984,17,71
Cuba,2.1,3/12/20,51,1,0.057942243,0.052627481,0.028038549,0.019033695,0.002246192,0.002089736,0.170758307,0.000115226,8541.210673,5667319.507,5709349.427,0.498152802,18.4,83
Cyprus,6.461538462,3/9/20,48,0,0.074830047,0.045215462,0.039642957,0.021970392,0.000334194,0.000244794,0.079055873,0.000140238,25760.7627,626294.2453,636337.903,0.49602273,16.8,78
Czech Republic,47.38095238,3/1/20,40,0,0.077190172,0.052734911,0.051659746,0.02587419,0.000135172,0.000101124,0.102436993,0.000150748,20379.89604,5211198.744,5381532.785,0.491959862,15.1,76
Denmark,59.16666667,2/27/20,37,13,0.104073988,0.055555509,0.039738358,0.021462058,0.001016432,0.000671683,0.076398785,0.000130257,57141.05984,2850897.389,2881380.762,0.497341077,10.1,81
Djibouti,0.25,3/18/20,57,0,0.065736988,0.056325697,0.018967806,0.023712041,0.010977896,0.01527267,0.339141798,0.005370052,2930.703172,591066.3821,522034.0828,0.531009016,40.4,47
Dominican Republic,5.333333333,3/1/20,40,2,0.06107225,0.053239185,0.025547883,0.01630248,0.006983183,0.008202526,0.224097174,0.000579574,7609.345492,5251580.466,5200169.218,0.502459457,12.9,74
Ecuador,24.0952381,3/1/20,40,7,0.060993637,0.053640625,0.023352853,0.015096436,0.002397348,0.002844382,0.184165595,0.00043202,6213.501276,8295257.57,8390931.722,0.497133134,14.9,77
Egypt,7.945945946,2/14/20,24,10,0.091873202,0.064121647,0.044715403,0.033627608,5.12E-05,3.88E-05,0.230796792,0.000285066,2440.510173,49772262.01,46711747.04,0.515860219,79.3,68
El Salvador,1,3/19/20,58,0,0.07271352,0.063784505,0.02980141,0.022106063,0.003823793,0.003686482,0.239622888,0.000316297,3902.242318,2850599.749,3236347.149,0.468313556,23.4,76
Equatorial Guinea,0.857142857,3/15/20,54,0,0.112224677,0.082338678,0.024582556,0.026560494,0.041001476,0.041802009,0.164047283,0.004280092,9738.434224,723068.0811,621962.8368,0.537584729,45.9,45
Eritrea,1,3/21/20,60,0,0.0627804,0.045434828,0.021465594,0.023324974,0.005872251,0.006474341,0.302048594,0.00714949,582.78,2919983.005,2939345.988,0.498347679,42.4,38
Estonia,12.75,2/27/20,37,0,0.069088654,0.048074948,0.037569601,0.01947923,0.002926453,0.001922729,0.110559343,0.000313063,20337.84973,617044.6827,697498.6387,0.469398515,6.7,75
Ethiopia,1,3/13/20,52,0,0.045455901,0.036760725,0.018337153,0.021788073,0.009306819,0.00804539,0.210676144,0.005426244,768.4250255,51899822.89,50984115.4,0.504450197,34.4,39
Fiji,0.333333333,3/19/20,58,0,0.22217619,0.152014184,0.033480526,0.031806378,0.000500744,0.000458891,0.375309339,0.001625316,6101.030839,460277.6863,446661.0635,0.507506914,10.2,64
Finland,9.867924528,1/29/20,8,1,0.085872044,0.048393388,0.030311969,0.016905089,0.000410912,0.000257352,0.071350314,0.000109277,46191.93116,2721021.45,2796956.411,0.493119313,5.9,78
France,248.8103448,1/24/20,3,562,0.049068711,0.026762633,0.032414559,0.011496446,0.00145282,0.001061978,0.078407151,0.000149764,38679.12715,31901434.37,33811164.89,0.485469069,11.6,78
Gabon,0.5,3/14/20,53,1,0.103069907,0.075585657,0.023425041,0.024846109,0.025324476,0.018633107,0.195166001,0.003894457,7212.535744,823558.6542,879161.1539,0.483672446,38.5,49
Georgia,1.96,2/26/20,36,0,0.098155387,0.077141003,0.042945385,0.024526429,0.00131122,0.001206739,0.156282482,0.000961576,4357.011625,1767477.548,1923844.271,0.478819684,21.2,66
Germany,403.8727273,1/27/20,6,84,0.059218702,0.030474188,0.048479959,0.026599667,0.001249888,0.000775496,0.078426656,0.000131524,44240.04411,40999946.45,42294577.34,0.492228595,11.7,83
Ghana,2.375,3/14/20,53,1,0.065415077,0.051254307,0.036259365,0.037901767,0.012082893,0.013699243,0.281550699,0.005070146,2025.885857,14680691.5,15524600.21,0.486030449,31.9,47
Greece,21.2,2/26/20,36,13,0.063927409,0.040271697,0.040133668,0.030404704,0.000410233,0.000294725,0.079274625,0.000131387,18883.46007,5088523.564,5313794.966,0.489172058,15.7,75
Guatemala,2.125,3/14/20,53,1,0.088013285,0.075931272,0.033999851,0.024548068,0.002237299,0.002343701,0.30125244,0.000270759,4470.609994,8220156.128,8704051.916,0.485704034,23.6,55
Guinea,0.222222222,3/13/20,52,0,0.050785183,0.038430345,0.035428781,0.036254732,0.011839296,0.010347277,0.370528474,0.004974687,855.5736399,5716155.069,6103831.821,0.483600796,22.4,37
Guyana,0.7,3/12/20,51,1,0.099488315,0.07916189,0.024113156,0.013838787,0.01281566,0.009908908,0.27905226,0.000544398,4586.054572,366309.3334,375992.9947,0.493477279,20.5,72
Haiti,1,3/20/20,59,0,0.086675348,0.063141001,0.036538221,0.019296469,0.015674632,0.01130314,0.392584299,0.000623986,765.7272943,5713846.49,6110988.779,0.48320728,14.6,49
